id,state,dgen_county,name,time_zone
1582,AL,Russell,Russell County,CentralPrevailing
2617,AL,St. Clair,St. Clair County,CentralPrevailing
698,AL,Shelby,Shelby County,CentralPrevailing
1310,AL,Sumter,Sumter County,CentralPrevailing
250,AL,Talladega,Talladega County,CentralPrevailing
1910,AL,Tallapoosa,Tallapoosa County,CentralPrevailing
2848,AL,Tuscaloosa,Tuscaloosa County,CentralPrevailing
3005,AL,Walker,Walker County,CentralPrevailing
2721,AL,Washington,Washington County,CentralPrevailing
1234,AL,Wilcox,Wilcox County,CentralPrevailing
1681,AL,Winston,Winston County,CentralPrevailing
978,AZ,Apache,Apache County,MountainStandard
2609,AZ,Cochise,Cochise County,MountainStandard
279,AZ,Coconino,Coconino County,MountainStandard
245,AZ,Gila,Gila County,MountainStandard
731,AZ,Graham,Graham County,MountainStandard
1402,AZ,Greenlee,Greenlee County,MountainStandard
575,AZ,La Paz,La Paz County,MountainStandard
1763,AZ,Maricopa,Maricopa County,MountainStandard
123,AZ,Mohave,Mohave County,MountainStandard
1799,AZ,Navajo,Navajo County,MountainPrevailing
1015,AZ,Pima,Pima County,MountainStandard
3023,AZ,Pinal,Pinal County,MountainStandard
729,AZ,Santa Cruz,Santa Cruz County,MountainStandard
2822,AZ,Yavapai,Yavapai County,MountainStandard
1667,AZ,Yuma,Yuma County,MountainStandard
2473,AR,Arkansas,Arkansas County,CentralPrevailing
889,AR,Ashley,Ashley County,CentralPrevailing
1723,AR,Baxter,Baxter County,CentralPrevailing
1698,AR,Benton,Benton County,CentralPrevailing
2022,AR,Boone,Boone County,CentralPrevailing
2897,AR,Bradley,Bradley County,CentralPrevailing
120,AR,Calhoun,Calhoun County,CentralPrevailing
1764,AR,Carroll,Carroll County,CentralPrevailing
151,AR,Chicot,Chicot County,CentralPrevailing
2497,AR,Clark,Clark County,CentralPrevailing
1341,AR,Clay,Clay County,CentralPrevailing
2018,AR,Cleburne,Cleburne County,CentralPrevailing
1518,AR,Cleveland,Cleveland County,CentralPrevailing
224,AR,Columbia,Columbia County,CentralPrevailing
1751,AR,Conway,Conway County,CentralPrevailing
707,AR,Craighead,Craighead County,CentralPrevailing
1187,AR,Crawford,Crawford County,CentralPrevailing
1508,AR,Crittenden,Crittenden County,CentralPrevailing
1771,AR,Cross,Cross County,CentralPrevailing
1134,AR,Dallas,Dallas County,CentralPrevailing
1579,AR,Desha,Desha County,CentralPrevailing
2855,AR,Drew,Drew County,CentralPrevailing
2666,AR,Faulkner,Faulkner County,CentralPrevailing
1204,AR,Franklin,Franklin County,CentralPrevailing
1989,AR,Fulton,Fulton County,CentralPrevailing
1145,AR,Garland,Garland County,CentralPrevailing
867,AR,Grant,Grant County,CentralPrevailing
489,AR,Greene,Greene County,CentralPrevailing
2853,AR,Hempstead,Hempstead County,CentralPrevailing
1252,AR,Hot Spring,Hot Spring County,CentralPrevailing
2019,AR,Howard,Howard County,CentralPrevailing
1123,AR,Independence,Independence County,CentralPrevailing
95,AR,Izard,Izard County,CentralPrevailing
229,AR,Jackson,Jackson County,CentralPrevailing
2935,AR,Jefferson,Jefferson County,CentralPrevailing
979,AR,Johnson,Johnson County,CentralPrevailing
249,AR,Lafayette,Lafayette County,CentralPrevailing
2856,AR,Lawrence,Lawrence County,CentralPrevailing
2301,AR,Lee,Lee County,CentralPrevailing
1874,AR,Lincoln,Lincoln County,CentralPrevailing
1631,AR,Little River,Little River County,CentralPrevailing
2584,AR,Logan,Logan County,CentralPrevailing
2427,AR,Lonoke,Lonoke County,CentralPrevailing
2398,AR,Madison,Madison County,CentralPrevailing
1352,AR,Marion,Marion County,CentralPrevailing
2408,AR,Miller,Miller County,CentralPrevailing
1468,AR,Mississippi,Mississippi County,CentralPrevailing
1113,AR,Monroe,Monroe County,CentralPrevailing
1901,AR,Montgomery,Montgomery County,CentralPrevailing
8,AR,Nevada,Nevada County,CentralPrevailing
2450,AR,Newton,Newton County,CentralPrevailing
487,AR,Ouachita,Ouachita County,CentralPrevailing
1389,AR,Perry,Perry County,CentralPrevailing
1880,AR,Phillips,Phillips County,CentralPrevailing
706,AR,Pike,Pike County,CentralPrevailing
2012,AR,Poinsett,Poinsett County,CentralPrevailing
2364,AR,Polk,Polk County,CentralPrevailing
1785,AR,Pope,Pope County,CentralPrevailing
1469,AR,Prairie,Prairie County,CentralPrevailing
515,AR,Pulaski,Pulaski County,CentralPrevailing
998,AR,Randolph,Randolph County,CentralPrevailing
2718,AR,St. Francis,St. Francis County,CentralPrevailing
2060,AR,Saline,Saline County,CentralPrevailing
2231,AR,Scott,Scott County,CentralPrevailing
1904,AR,Searcy,Searcy County,CentralPrevailing
444,AR,Sebastian,Sebastian County,CentralPrevailing
2504,AR,Sevier,Sevier County,CentralPrevailing
2828,AR,Sharp,Sharp County,CentralPrevailing
954,AR,Stone,Stone County,CentralPrevailing
2919,AR,Union,Union County,CentralPrevailing
2064,AR,Van Buren,Van Buren County,CentralPrevailing
852,AR,Washington,Washington County,CentralPrevailing
1261,AR,White,White County,CentralPrevailing
65,AR,Woodruff,Woodruff County,CentralPrevailing
399,AR,Yell,Yell County,CentralPrevailing
2565,CA,Alameda,Alameda County,PacificPrevailing
940,CA,Alpine,Alpine County,PacificPrevailing
1678,CA,Amador,Amador County,PacificPrevailing
1709,CA,Butte,Butte County,PacificPrevailing
2010,CA,Calaveras,Calaveras County,PacificPrevailing
2922,CA,Colusa,Colusa County,PacificPrevailing
199,CA,Contra Costa,Contra Costa County,PacificPrevailing
1845,CA,Del Norte,Del Norte County,PacificPrevailing
167,CA,El Dorado,El Dorado County,PacificPrevailing
2517,CA,Fresno,Fresno County,PacificPrevailing
1277,CA,Glenn,Glenn County,PacificPrevailing
2020,CA,Humboldt,Humboldt County,PacificPrevailing
1522,CA,Imperial,Imperial County,PacificPrevailing
285,CA,Inyo,Inyo County,PacificPrevailing
1865,CA,Kern,Kern County,PacificPrevailing
747,CA,Kings,Kings County,PacificPrevailing
1247,CA,Lake,Lake County,PacificPrevailing
1525,CA,Lassen,Lassen County,PacificPrevailing
1842,CA,Los Angeles,Los Angeles County,PacificPrevailing
1095,CA,Madera,Madera County,PacificPrevailing
1632,CA,Marin,Marin County,PacificPrevailing
2782,CA,Mariposa,Mariposa County,PacificPrevailing
2589,CA,Mendocino,Mendocino County,PacificPrevailing
1235,CA,Merced,Merced County,PacificPrevailing
2051,CA,Modoc,Modoc County,PacificPrevailing
1085,CA,Mono,Mono County,PacificPrevailing
962,CA,Monterey,Monterey County,PacificPrevailing
587,CA,Napa,Napa County,PacificPrevailing
2783,CA,Nevada,Nevada County,PacificPrevailing
1178,CA,Orange,Orange County,PacificPrevailing
2015,CA,Placer,Placer County,PacificPrevailing
1103,CA,Plumas,Plumas County,PacificPrevailing
6,CA,Riverside,Riverside County,PacificPrevailing
276,CA,Sacramento,Sacramento County,PacificPrevailing
2878,CA,San Benito,San Benito County,PacificPrevailing
1059,CA,San Bernardino,San Bernardino County,PacificPrevailing
251,CA,San Diego,San Diego County,PacificPrevailing
2779,CA,San Francisco,San Francisco County,PacificPrevailing
2323,CA,San Joaquin,San Joaquin County,PacificPrevailing
1975,CA,San Luis Obispo,San Luis Obispo County,PacificPrevailing
1584,CA,San Mateo,San Mateo County,PacificPrevailing
2669,CA,Santa Barbara,Santa Barbara County,PacificPrevailing
2393,CA,Santa Clara,Santa Clara County,PacificPrevailing
2417,CA,Santa Cruz,Santa Cruz County,PacificPrevailing
1262,CA,Shasta,Shasta County,PacificPrevailing
2401,CA,Sierra,Sierra County,PacificPrevailing
1365,CA,Siskiyou,Siskiyou County,PacificPrevailing
1117,CA,Solano,Solano County,PacificPrevailing
1949,CA,Sonoma,Sonoma County,PacificPrevailing
89,CA,Stanislaus,Stanislaus County,PacificPrevailing
2374,CA,Sutter,Sutter County,PacificPrevailing
584,CA,Tehama,Tehama County,PacificPrevailing
1435,CA,Trinity,Trinity County,PacificPrevailing
1972,CA,Tulare,Tulare County,PacificPrevailing
751,CA,Tuolumne,Tuolumne County,PacificPrevailing
2024,CA,Ventura,Ventura County,PacificPrevailing
2458,CA,Yolo,Yolo County,PacificPrevailing
1812,CA,Yuba,Yuba County,PacificPrevailing
1188,CO,Adams,Adams County,MountainPrevailing
2821,CO,Alamosa,Alamosa County,MountainPrevailing
484,CO,Arapahoe,Arapahoe County,MountainPrevailing
417,CO,Archuleta,Archuleta County,MountainPrevailing
185,CO,Baca,Baca County,MountainPrevailing
811,CO,Bent,Bent County,MountainPrevailing
1988,CO,Boulder,Boulder County,MountainPrevailing
2217,CO,Broomfield,Broomfield County,MountainPrevailing
685,CO,Chaffee,Chaffee County,MountainPrevailing
1997,CO,Cheyenne,Cheyenne County,MountainPrevailing
1203,CO,Clear Creek,Clear Creek County,MountainPrevailing
2461,CO,Conejos,Conejos County,MountainPrevailing
131,CO,Costilla,Costilla County,MountainPrevailing
2612,CO,Crowley,Crowley County,MountainPrevailing
2267,CO,Custer,Custer County,MountainPrevailing
697,CO,Delta,Delta County,MountainPrevailing
1797,CO,Denver,Denver County,MountainPrevailing
2474,CO,Dolores,Dolores County,MountainPrevailing
2616,CO,Douglas,Douglas County,MountainPrevailing
680,CO,Eagle,Eagle County,MountainPrevailing
3003,CO,Elbert,Elbert County,MountainPrevailing
495,CO,El Paso,El Paso County,MountainPrevailing
955,CO,Fremont,Fremont County,MountainPrevailing
1551,CO,Garfield,Garfield County,MountainPrevailing
2499,CO,Gilpin,Gilpin County,MountainPrevailing
117,CO,Grand,Grand County,MountainPrevailing
3042,CO,Gunnison,Gunnison County,MountainPrevailing
2787,CO,Hinsdale,Hinsdale County,MountainPrevailing
1589,CO,Huerfano,Huerfano County,MountainPrevailing
952,CO,Jackson,Jackson County,MountainPrevailing
2544,CO,Jefferson,Jefferson County,MountainPrevailing
186,CO,Kiowa,Kiowa County,MountainPrevailing
3016,CO,Kit Carson,Kit Carson County,MountainPrevailing
2135,CO,Lake,Lake County,MountainPrevailing
2311,CO,La Plata,La Plata County,MountainPrevailing
854,CO,Larimer,Larimer County,MountainPrevailing
3060,CO,Las Animas,Las Animas County,MountainPrevailing
2288,CO,Lincoln,Lincoln County,MountainPrevailing
947,CO,Logan,Logan County,MountainPrevailing
236,CO,Mesa,Mesa County,MountainPrevailing
604,CO,Mineral,Mineral County,MountainPrevailing
578,CO,Moffat,Moffat County,MountainPrevailing
1489,CO,Montezuma,Montezuma County,MountainPrevailing
1329,CO,Montrose,Montrose County,MountainPrevailing
1297,CO,Morgan,Morgan County,MountainPrevailing
2443,CO,Otero,Otero County,MountainPrevailing
1334,CO,Ouray,Ouray County,MountainPrevailing
2748,CO,Park,Park County,MountainPrevailing
2972,CO,Phillips,Phillips County,MountainPrevailing
629,CO,Pitkin,Pitkin County,MountainPrevailing
2089,CO,Prowers,Prowers County,MountainPrevailing
1350,CO,Pueblo,Pueblo County,MountainPrevailing
1586,CO,Rio Blanco,Rio Blanco County,MountainPrevailing
2727,CO,Rio Grande,Rio Grande County,MountainPrevailing
599,CO,Routt,Routt County,MountainPrevailing
1801,CO,Saguache,Saguache County,MountainPrevailing
133,CO,San Juan,San Juan County,MountainPrevailing
1271,CO,San Miguel,San Miguel County,MountainPrevailing
715,CO,Sedgwick,Sedgwick County,MountainPrevailing
2604,CO,Summit,Summit County,MountainPrevailing
1606,CO,Teller,Teller County,MountainPrevailing
3095,CO,Washington,Washington County,MountainPrevailing
1403,CO,Weld,Weld County,MountainPrevailing
191,CO,Yuma,Yuma County,MountainPrevailing
616,CT,Fairfield,Fairfield County,EasternPrevailing
2162,CT,Hartford,Hartford County,EasternPrevailing
1417,CT,Litchfield,Litchfield County,EasternPrevailing
1383,CT,Middlesex,Middlesex County,EasternPrevailing
1146,CT,New Haven,New Haven County,EasternPrevailing
218,CT,New London,New London County,EasternPrevailing
2984,CT,Tolland,Tolland County,EasternPrevailing
1306,CT,Windham,Windham County,EasternPrevailing
547,DE,Kent,Kent County,EasternPrevailing
2159,DE,New Castle,New Castle County,EasternPrevailing
1315,DE,Sussex,Sussex County,EasternPrevailing
84,DC,District of Columbia,District of Columbia,EasternPrevailing
416,FL,Alachua,Alachua County,EasternPrevailing
1987,FL,Baker,Baker County,EasternPrevailing
1227,FL,Bay,Bay County,CentralPrevailing
1186,FL,Bradford,Bradford County,EasternPrevailing
946,FL,Brevard,Brevard County,EasternPrevailing
1,FL,Broward,Broward County,EasternPrevailing
2820,FL,Calhoun,Calhoun County,CentralPrevailing
1515,FL,Charlotte,Charlotte County,EasternPrevailing
2784,FL,Citrus,Citrus County,EasternPrevailing
409,FL,Clay,Clay County,EasternPrevailing
1616,FL,Collier,Collier County,EasternPrevailing
872,FL,Columbia,Columbia County,EasternPrevailing
3091,FL,DeSoto,DeSoto County,EasternPrevailing
1500,FL,Dixie,Dixie County,EasternPrevailing
2587,FL,Duval,Duval County,EasternPrevailing
1699,FL,Escambia,Escambia County,CentralPrevailing
1769,FL,Flagler,Flagler County,EasternPrevailing
1509,FL,Franklin,Franklin County,EasternPrevailing
2248,FL,Gadsden,Gadsden County,EasternPrevailing
1311,FL,Gilchrist,Gilchrist County,EasternPrevailing
162,FL,Glades,Glades County,EasternPrevailing
750,FL,Gulf,Gulf County,CentralPrevailing
1652,FL,Hamilton,Hamilton County,EasternPrevailing
910,FL,Hardee,Hardee County,EasternPrevailing
2225,FL,Hendry,Hendry County,EasternPrevailing
2001,FL,Hernando,Hernando County,EasternPrevailing
2391,FL,Highlands,Highlands County,EasternPrevailing
163,FL,Hillsborough,Hillsborough County,EasternPrevailing
1718,FL,Holmes,Holmes County,CentralPrevailing
949,FL,Indian River,Indian River County,EasternPrevailing
2239,FL,Jackson,Jackson County,CentralPrevailing
2921,FL,Jefferson,Jefferson County,EasternPrevailing
3057,FL,Lafayette,Lafayette County,EasternPrevailing
51,FL,Lake,Lake County,EasternPrevailing
2289,FL,Lee,Lee County,EasternPrevailing
3062,FL,Leon,Leon County,EasternPrevailing
187,FL,Levy,Levy County,EasternPrevailing
997,FL,Liberty,Liberty County,EasternPrevailing
1397,FL,Madison,Madison County,EasternPrevailing
1323,FL,Manatee,Manatee County,EasternPrevailing
710,FL,Marion,Marion County,EasternPrevailing
582,FL,Martin,Martin County,EasternPrevailing
1148,FL,Miami-Dade,Miami-Dade County,EasternPrevailing
508,FL,Monroe,Monroe County,EasternPrevailing
1623,FL,Nassau,Nassau County,EasternPrevailing
565,FL,Okaloosa,Okaloosa County,CentralPrevailing
1940,FL,Okeechobee,Okeechobee County,EasternPrevailing
2183,FL,Orange,Orange County,EasternPrevailing
1370,FL,Osceola,Osceola County,EasternPrevailing
2895,FL,Palm Beach,Palm Beach County,EasternPrevailing
533,FL,Pasco,Pasco County,EasternPrevailing
2396,FL,Pinellas,Pinellas County,EasternPrevailing
1883,FL,Polk,Polk County,EasternPrevailing
1392,FL,Putnam,Putnam County,EasternPrevailing
2591,FL,St. Johns,St. Johns County,EasternPrevailing
874,FL,St. Lucie,St. Lucie County,EasternPrevailing
516,FL,Santa Rosa,Santa Rosa County,CentralPrevailing
1493,FL,Sarasota,Sarasota County,EasternPrevailing
1783,FL,Seminole,Seminole County,EasternPrevailing
2370,FL,Sumter,Sumter County,EasternPrevailing
2270,FL,Suwannee,Suwannee County,EasternPrevailing
607,FL,Taylor,Taylor County,EasternPrevailing
931,FL,Union,Union County,EasternPrevailing
1159,FL,Volusia,Volusia County,EasternPrevailing
1367,FL,Wakulla,Wakulla County,EasternPrevailing
2541,FL,Walton,Walton County,CentralPrevailing
401,FL,Washington,Washington County,CentralPrevailing
694,GA,Appling,Appling County,EasternPrevailing
2302,GA,Atkinson,Atkinson County,EasternPrevailing
1555,GA,Bacon,Bacon County,EasternPrevailing
1501,GA,Baker,Baker County,EasternPrevailing
1036,GA,Baldwin,Baldwin County,EasternPrevailing
348,GA,Banks,Banks County,EasternPrevailing
3048,GA,Barrow,Barrow County,EasternPrevailing
1175,GA,Bartow,Bartow County,EasternPrevailing
3081,GA,Ben Hill,Ben Hill County,EasternPrevailing
708,GA,Berrien,Berrien County,EasternPrevailing
1973,GA,Bibb,Bibb County,EasternPrevailing
1007,GA,Bleckley,Bleckley County,EasternPrevailing
1693,GA,Brantley,Brantley County,EasternPrevailing
2769,GA,Brooks,Brooks County,EasternPrevailing
1183,GA,Bryan,Bryan County,EasternPrevailing
2498,GA,Bulloch,Bulloch County,EasternPrevailing
1750,GA,Burke,Burke County,EasternPrevailing
1688,GA,Butts,Butts County,EasternPrevailing
1176,GA,Calhoun,Calhoun County,EasternPrevailing
2123,GA,Camden,Camden County,EasternPrevailing
299,GA,Candler,Candler County,EasternPrevailing
465,GA,Carroll,Carroll County,EasternPrevailing
1798,GA,Catoosa,Catoosa County,EasternPrevailing
966,GA,Charlton,Charlton County,EasternPrevailing
2149,GA,Chatham,Chatham County,EasternPrevailing
2274,GA,Chattahoochee,Chattahoochee County,EasternPrevailing
2686,GA,Chattooga,Chattooga County,EasternPrevailing
297,GA,Cherokee,Cherokee County,EasternPrevailing
1841,GA,Clarke,Clarke County,EasternPrevailing
1034,GA,Clay,Clay County,EasternPrevailing
2132,GA,Clayton,Clayton County,EasternPrevailing
3034,GA,Clinch,Clinch County,EasternPrevailing
2811,GA,Cobb,Cobb County,EasternPrevailing
390,GA,Coffee,Coffee County,EasternPrevailing
1995,GA,Colquitt,Colquitt County,EasternPrevailing
2807,GA,Columbia,Columbia County,EasternPrevailing
278,GA,Cook,Cook County,EasternPrevailing
894,GA,Coweta,Coweta County,EasternPrevailing
1270,GA,Crawford,Crawford County,EasternPrevailing
1462,GA,Crisp,Crisp County,EasternPrevailing
412,GA,Dade,Dade County,EasternPrevailing
634,GA,Dawson,Dawson County,EasternPrevailing
611,GA,Decatur,Decatur County,EasternPrevailing
1962,GA,DeKalb,DeKalb County,EasternPrevailing
648,GA,Dodge,Dodge County,EasternPrevailing
1635,GA,Dooly,Dooly County,EasternPrevailing
2106,GA,Dougherty,Dougherty County,EasternPrevailing
1305,GA,Douglas,Douglas County,EasternPrevailing
2957,GA,Early,Early County,EasternPrevailing
675,GA,Echols,Echols County,EasternPrevailing
2688,GA,Effingham,Effingham County,EasternPrevailing
1602,GA,Elbert,Elbert County,EasternPrevailing
1280,GA,Emanuel,Emanuel County,EasternPrevailing
2494,GA,Evans,Evans County,EasternPrevailing
1001,GA,Fannin,Fannin County,EasternPrevailing
603,GA,Fayette,Fayette County,EasternPrevailing
1196,GA,Floyd,Floyd County,EasternPrevailing
1664,GA,Forsyth,Forsyth County,EasternPrevailing
2720,GA,Franklin,Franklin County,EasternPrevailing
2006,GA,Fulton,Fulton County,EasternPrevailing
510,GA,Gilmer,Gilmer County,EasternPrevailing
1054,GA,Glascock,Glascock County,EasternPrevailing
822,GA,Glynn,Glynn County,EasternPrevailing
1309,GA,Gordon,Gordon County,EasternPrevailing
2647,GA,Grady,Grady County,EasternPrevailing
717,GA,Greene,Greene County,EasternPrevailing
274,GA,Gwinnett,Gwinnett County,EasternPrevailing
2332,GA,Habersham,Habersham County,EasternPrevailing
352,GA,Hall,Hall County,EasternPrevailing
1056,GA,Hancock,Hancock County,EasternPrevailing
2252,GA,Haralson,Haralson County,EasternPrevailing
1887,GA,Harris,Harris County,EasternPrevailing
2998,GA,Hart,Hart County,EasternPrevailing
2603,GA,Heard,Heard County,EasternPrevailing
986,GA,Henry,Henry County,EasternPrevailing
2627,GA,Houston,Houston County,EasternPrevailing
2372,GA,Irwin,Irwin County,EasternPrevailing
2652,GA,Jackson,Jackson County,EasternPrevailing
3117,GA,Jasper,Jasper County,EasternPrevailing
1286,GA,Jeff Davis,Jeff Davis County,EasternPrevailing
2056,GA,Jefferson,Jefferson County,EasternPrevailing
2534,GA,Jenkins,Jenkins County,EasternPrevailing
2160,GA,Johnson,Johnson County,EasternPrevailing
2752,GA,Jones,Jones County,EasternPrevailing
2040,GA,Lamar,Lamar County,EasternPrevailing
1404,GA,Lanier,Lanier County,EasternPrevailing
2963,GA,Laurens,Laurens County,EasternPrevailing
684,GA,Lee,Lee County,EasternPrevailing
1671,GA,Liberty,Liberty County,EasternPrevailing
2841,GA,Lincoln,Lincoln County,EasternPrevailing
849,GA,Long,Long County,EasternPrevailing
925,GA,Lowndes,Lowndes County,EasternPrevailing
2850,GA,Lumpkin,Lumpkin County,EasternPrevailing
1905,GA,McDuffie,McDuffie County,EasternPrevailing
976,GA,McIntosh,McIntosh County,EasternPrevailing
1559,GA,Macon,Macon County,EasternPrevailing
1407,GA,Madison,Madison County,EasternPrevailing
1840,GA,Marion,Marion County,EasternPrevailing
303,GA,Meriwether,Meriwether County,EasternPrevailing
1884,GA,Miller,Miller County,EasternPrevailing
1590,GA,Mitchell,Mitchell County,EasternPrevailing
1677,GA,Monroe,Monroe County,EasternPrevailing
2764,GA,Montgomery,Montgomery County,EasternPrevailing
1759,GA,Morgan,Morgan County,EasternPrevailing
2898,GA,Murray,Murray County,EasternPrevailing
2551,GA,Muscogee,Muscogee County,EasternPrevailing
1993,GA,Newton,Newton County,EasternPrevailing
1181,GA,Oconee,Oconee County,EasternPrevailing
2532,GA,Oglethorpe,Oglethorpe County,EasternPrevailing
984,GA,Paulding,Paulding County,EasternPrevailing
1697,GA,Peach,Peach County,EasternPrevailing
1080,GA,Pickens,Pickens County,EasternPrevailing
1532,GA,Pierce,Pierce County,EasternPrevailing
152,GA,Pike,Pike County,EasternPrevailing
671,GA,Polk,Polk County,EasternPrevailing
1303,GA,Pulaski,Pulaski County,EasternPrevailing
88,GA,Putnam,Putnam County,EasternPrevailing
2395,GA,Quitman,Quitman County,EasternPrevailing
2809,GA,Rabun,Rabun County,EasternPrevailing
1628,GA,Randolph,Randolph County,EasternPrevailing
1749,GA,Richmond,Richmond County,EasternPrevailing
1053,GA,Rockdale,Rockdale County,EasternPrevailing
1872,GA,Schley,Schley County,EasternPrevailing
571,GA,Screven,Screven County,EasternPrevailing
1738,GA,Seminole,Seminole County,EasternPrevailing
3140,GA,Spalding,Spalding County,EasternPrevailing
1391,GA,Stephens,Stephens County,EasternPrevailing
2193,GA,Stewart,Stewart County,EasternPrevailing
2116,GA,Sumter,Sumter County,EasternPrevailing
1938,GA,Talbot,Talbot County,EasternPrevailing
1101,GA,Taliaferro,Taliaferro County,EasternPrevailing
335,GA,Tattnall,Tattnall County,EasternPrevailing
2867,GA,Taylor,Taylor County,EasternPrevailing
2999,GA,Telfair,Telfair County,EasternPrevailing
170,GA,Terrell,Terrell County,EasternPrevailing
2789,GA,Thomas,Thomas County,EasternPrevailing
3127,GA,Tift,Tift County,EasternPrevailing
2344,GA,Toombs,Toombs County,EasternPrevailing
3033,GA,Towns,Towns County,EasternPrevailing
1321,GA,Treutlen,Treutlen County,EasternPrevailing
94,GA,Troup,Troup County,EasternPrevailing
1388,GA,Turner,Turner County,EasternPrevailing
2088,GA,Twiggs,Twiggs County,EasternPrevailing
2566,GA,Union,Union County,EasternPrevailing
2777,GA,Upson,Upson County,EasternPrevailing
1599,GA,Walker,Walker County,EasternPrevailing
2513,GA,Walton,Walton County,EasternPrevailing
75,GA,Ware,Ware County,EasternPrevailing
1158,GA,Warren,Warren County,EasternPrevailing
2133,GA,Washington,Washington County,EasternPrevailing
1615,GA,Wayne,Wayne County,EasternPrevailing
2739,GA,Webster,Webster County,EasternPrevailing
2506,GA,Wheeler,Wheeler County,EasternPrevailing
626,GA,White,White County,EasternPrevailing
2831,GA,Whitfield,Whitfield County,EasternPrevailing
892,GA,Wilcox,Wilcox County,EasternPrevailing
2031,GA,Wilkes,Wilkes County,EasternPrevailing
1907,GA,Wilkinson,Wilkinson County,EasternPrevailing
509,GA,Worth,Worth County,EasternPrevailing
2079,ID,Ada,Ada County,MountainPrevailing
530,ID,Adams,Adams County,MountainPrevailing
2942,ID,Bannock,Bannock County,MountainPrevailing
2893,ID,Bear Lake,Bear Lake County,MountainPrevailing
2439,ID,Benewah,Benewah County,PacificPrevailing
1696,ID,Bingham,Bingham County,MountainPrevailing
1266,ID,Blaine,Blaine County,MountainPrevailing
2950,ID,Boise,Boise County,MountainPrevailing
1288,ID,Bonner,Bonner County,PacificPrevailing
2107,ID,Bonneville,Bonneville County,MountainPrevailing
208,ID,Boundary,Boundary County,PacificPrevailing
2382,ID,Butte,Butte County,MountainPrevailing
333,ID,Camas,Camas County,MountainPrevailing
1371,ID,Canyon,Canyon County,MountainPrevailing
2965,ID,Caribou,Caribou County,MountainPrevailing
1116,ID,Cassia,Cassia County,MountainPrevailing
14,ID,Clark,Clark County,MountainPrevailing
343,ID,Clearwater,Clearwater County,PacificPrevailing
2947,ID,Custer,Custer County,MountainPrevailing
730,ID,Elmore,Elmore County,MountainPrevailing
2778,ID,Franklin,Franklin County,MountainPrevailing
1644,ID,Fremont,Fremont County,MountainPrevailing
2244,ID,Gem,Gem County,MountainPrevailing
