id,state,name,time_zone
575,AZ,La Paz,MountainStandard
1763,AZ,Maricopa,MountainStandard
123,AZ,Mohave,MountainStandard
1799,AZ,Navajo,MountainPrevailing
1015,AZ,Pima,MountainStandard
3023,AZ,Pinal,MountainStandard
729,AZ,Santa Cruz,MountainStandard
2822,AZ,Yavapai,MountainStandard
1667,AZ,Yuma,MountainStandard
2473,AR,Arkansas,CentralPrevailing
889,AR,Ashley,CentralPrevailing
1723,AR,Baxter,CentralPrevailing
1698,AR,Benton,CentralPrevailing
2022,AR,Boone,CentralPrevailing
2897,AR,Bradley,CentralPrevailing
120,AR,Calhoun,CentralPrevailing
1764,AR,Carroll,CentralPrevailing
151,AR,Chicot,CentralPrevailing
2497,AR,Clark,CentralPrevailing
1341,AR,Clay,CentralPrevailing
2018,AR,Cleburne,CentralPrevailing
1518,AR,Cleveland,CentralPrevailing
224,AR,Columbia,CentralPrevailing
1751,AR,Conway,CentralPrevailing
707,AR,Craighead,CentralPrevailing
1187,AR,Crawford,CentralPrevailing
1508,AR,Crittenden,CentralPrevailing
1771,AR,Cross,CentralPrevailing
1134,AR,Dallas,CentralPrevailing
1579,AR,Desha,CentralPrevailing
2855,AR,Drew,CentralPrevailing
2666,AR,Faulkner,CentralPrevailing
1204,AR,Franklin,CentralPrevailing
1989,AR,Fulton,CentralPrevailing
1145,AR,Garland,CentralPrevailing
867,AR,Grant,CentralPrevailing
489,AR,Greene,CentralPrevailing
2853,AR,Hempstead,CentralPrevailing
1252,AR,Hot Spring,CentralPrevailing
2019,AR,Howard,CentralPrevailing
1123,AR,Independence,CentralPrevailing
95,AR,Izard,CentralPrevailing
229,AR,Jackson,CentralPrevailing
2935,AR,Jefferson,CentralPrevailing
979,AR,Johnson,CentralPrevailing
249,AR,Lafayette,CentralPrevailing
2856,AR,Lawrence,CentralPrevailing
2301,AR,Lee,CentralPrevailing
1874,AR,Lincoln,CentralPrevailing
1631,AR,Little River,CentralPrevailing
2584,AR,Logan,CentralPrevailing
2427,AR,Lonoke,CentralPrevailing
2398,AR,Madison,CentralPrevailing
1352,AR,Marion,CentralPrevailing
2408,AR,Miller,CentralPrevailing
1468,AR,Mississippi,CentralPrevailing
1113,AR,Monroe,CentralPrevailing
1901,AR,Montgomery,CentralPrevailing
8,AR,Nevada,CentralPrevailing
2450,AR,Newton,CentralPrevailing
487,AR,Ouachita,CentralPrevailing
1389,AR,Perry,CentralPrevailing
1880,AR,Phillips,CentralPrevailing
706,AR,Pike,CentralPrevailing
2012,AR,Poinsett,CentralPrevailing
2364,AR,Polk,CentralPrevailing
1785,AR,Pope,CentralPrevailing
1469,AR,Prairie,CentralPrevailing
515,AR,Pulaski,CentralPrevailing
998,AR,Randolph,CentralPrevailing
2718,AR,St. Francis,CentralPrevailing
2060,AR,Saline,CentralPrevailing
2231,AR,Scott,CentralPrevailing
1904,AR,Searcy,CentralPrevailing
444,AR,Sebastian,CentralPrevailing
2504,AR,Sevier,CentralPrevailing
2828,AR,Sharp,CentralPrevailing
954,AR,Stone,CentralPrevailing
2919,AR,Union,CentralPrevailing
2064,AR,Van Buren,CentralPrevailing
852,AR,Washington,CentralPrevailing
1261,AR,White,CentralPrevailing
65,AR,Woodruff,CentralPrevailing
399,AR,Yell,CentralPrevailing
2565,CA,Alameda,PacificPrevailing
940,CA,Alpine,PacificPrevailing
1678,CA,Amador,PacificPrevailing
1709,CA,Butte,PacificPrevailing
2010,CA,Calaveras,PacificPrevailing
2922,CA,Colusa,PacificPrevailing
199,CA,Contra Costa,PacificPrevailing
1845,CA,Del Norte,PacificPrevailing
167,CA,El Dorado,PacificPrevailing
2517,CA,Fresno,PacificPrevailing
1277,CA,Glenn,PacificPrevailing
2020,CA,Humboldt,PacificPrevailing
1522,CA,Imperial,PacificPrevailing
285,CA,Inyo,PacificPrevailing
1865,CA,Kern,PacificPrevailing
747,CA,Kings,PacificPrevailing
1247,CA,Lake,PacificPrevailing
1525,CA,Lassen,PacificPrevailing
1842,CA,Los Angeles,PacificPrevailing
1095,CA,Madera,PacificPrevailing
1632,CA,Marin,PacificPrevailing
2782,CA,Mariposa,PacificPrevailing
2589,CA,Mendocino,PacificPrevailing
1235,CA,Merced,PacificPrevailing
2051,CA,Modoc,PacificPrevailing
1085,CA,Mono,PacificPrevailing
962,CA,Monterey,PacificPrevailing
587,CA,Napa,PacificPrevailing
2783,CA,Nevada,PacificPrevailing
1178,CA,Orange,PacificPrevailing
2015,CA,Placer,PacificPrevailing
1103,CA,Plumas,PacificPrevailing
6,CA,Riverside,PacificPrevailing
276,CA,Sacramento,PacificPrevailing
2878,CA,San Benito,PacificPrevailing
1059,CA,San Bernardino,PacificPrevailing
251,CA,San Diego,PacificPrevailing
2779,CA,San Francisco,PacificPrevailing
2323,CA,San Joaquin,PacificPrevailing
1975,CA,San Luis Obispo,PacificPrevailing
1584,CA,San Mateo,PacificPrevailing
2669,CA,Santa Barbara,PacificPrevailing
2393,CA,Santa Clara,PacificPrevailing
2417,CA,Santa Cruz,PacificPrevailing
1262,CA,Shasta,PacificPrevailing
2401,CA,Sierra,PacificPrevailing
1365,CA,Siskiyou,PacificPrevailing
1117,CA,Solano,PacificPrevailing
1949,CA,Sonoma,PacificPrevailing
89,CA,Stanislaus,PacificPrevailing
2374,CA,Sutter,PacificPrevailing
584,CA,Tehama,PacificPrevailing
1435,CA,Trinity,PacificPrevailing
1972,CA,Tulare,PacificPrevailing
751,CA,Tuolumne,PacificPrevailing
2024,CA,Ventura,PacificPrevailing
2458,CA,Yolo,PacificPrevailing
1812,CA,Yuba,PacificPrevailing
1188,CO,Adams,MountainPrevailing
2821,CO,Alamosa,MountainPrevailing
484,CO,Arapahoe,MountainPrevailing
417,CO,Archuleta,MountainPrevailing
185,CO,Baca,MountainPrevailing
811,CO,Bent,MountainPrevailing
1988,CO,Boulder,MountainPrevailing
2217,CO,Broomfield,MountainPrevailing
685,CO,Chaffee,MountainPrevailing
1997,CO,Cheyenne,MountainPrevailing
1203,CO,Clear Creek,MountainPrevailing
2461,CO,Conejos,MountainPrevailing
131,CO,Costilla,MountainPrevailing
2612,CO,Crowley,MountainPrevailing
2267,CO,Custer,MountainPrevailing
697,CO,Delta,MountainPrevailing
1797,CO,Denver,MountainPrevailing
2474,CO,Dolores,MountainPrevailing
2616,CO,Douglas,MountainPrevailing
680,CO,Eagle,MountainPrevailing
3003,CO,Elbert,MountainPrevailing
495,CO,El Paso,MountainPrevailing
955,CO,Fremont,MountainPrevailing
1551,CO,Garfield,MountainPrevailing
2499,CO,Gilpin,MountainPrevailing
117,CO,Grand,MountainPrevailing
3042,CO,Gunnison,MountainPrevailing
2787,CO,Hinsdale,MountainPrevailing
1589,CO,Huerfano,MountainPrevailing
952,CO,Jackson,MountainPrevailing
2544,CO,Jefferson,MountainPrevailing
186,CO,Kiowa,MountainPrevailing
3016,CO,Kit Carson,MountainPrevailing
2135,CO,Lake,MountainPrevailing
2311,CO,La Plata,MountainPrevailing
854,CO,Larimer,MountainPrevailing
3060,CO,Las Animas,MountainPrevailing
2288,CO,Lincoln,MountainPrevailing
947,CO,Logan,MountainPrevailing
236,CO,Mesa,MountainPrevailing
604,CO,Mineral,MountainPrevailing
578,CO,Moffat,MountainPrevailing
1489,CO,Montezuma,MountainPrevailing
1329,CO,Montrose,MountainPrevailing
1297,CO,Morgan,MountainPrevailing
2443,CO,Otero,MountainPrevailing
1334,CO,Ouray,MountainPrevailing
2748,CO,Park,MountainPrevailing
2972,CO,Phillips,MountainPrevailing
629,CO,Pitkin,MountainPrevailing
2089,CO,Prowers,MountainPrevailing
1350,CO,Pueblo,MountainPrevailing
1586,CO,Rio Blanco,MountainPrevailing
2727,CO,Rio Grande,MountainPrevailing
599,CO,Routt,MountainPrevailing
1801,CO,Saguache,MountainPrevailing
133,CO,San Juan,MountainPrevailing
1271,CO,San Miguel,MountainPrevailing
715,CO,Sedgwick,MountainPrevailing
2604,CO,Summit,MountainPrevailing
1606,CO,Teller,MountainPrevailing
3095,CO,Washington,MountainPrevailing
1403,CO,Weld,MountainPrevailing
191,CO,Yuma,MountainPrevailing
616,CT,Fairfield,EasternPrevailing
2162,CT,Hartford,EasternPrevailing
1417,CT,Litchfield,EasternPrevailing
1383,CT,Middlesex,EasternPrevailing
1146,CT,New Haven,EasternPrevailing
218,CT,New London,EasternPrevailing
2984,CT,Tolland,EasternPrevailing
1306,CT,Windham,EasternPrevailing
547,DE,Kent,EasternPrevailing
2159,DE,New Castle,EasternPrevailing
1315,DE,Sussex,EasternPrevailing
84,DC,District of Columbia,EasternPrevailing
416,FL,Alachua,EasternPrevailing
1987,FL,Baker,EasternPrevailing
1227,FL,Bay,CentralPrevailing
1186,FL,Bradford,EasternPrevailing
946,FL,Brevard,EasternPrevailing
1,FL,Broward,EasternPrevailing
2820,FL,Calhoun,CentralPrevailing
1515,FL,Charlotte,EasternPrevailing
2784,FL,Citrus,EasternPrevailing
409,FL,Clay,EasternPrevailing
1616,FL,Collier,EasternPrevailing
872,FL,Columbia,EasternPrevailing
3091,FL,DeSoto,EasternPrevailing
1500,FL,Dixie,EasternPrevailing
2587,FL,Duval,EasternPrevailing
1699,FL,Escambia,CentralPrevailing
1769,FL,Flagler,EasternPrevailing
1509,FL,Franklin,EasternPrevailing
2248,FL,Gadsden,EasternPrevailing
1311,FL,Gilchrist,EasternPrevailing
162,FL,Glades,EasternPrevailing
750,FL,Gulf,CentralPrevailing
1652,FL,Hamilton,EasternPrevailing
910,FL,Hardee,EasternPrevailing
2225,FL,Hendry,EasternPrevailing
2001,FL,Hernando,EasternPrevailing
2391,FL,Highlands,EasternPrevailing
163,FL,Hillsborough,EasternPrevailing
1718,FL,Holmes,CentralPrevailing
949,FL,Indian River,EasternPrevailing
2239,FL,Jackson,CentralPrevailing
2921,FL,Jefferson,EasternPrevailing
3057,FL,Lafayette,EasternPrevailing
51,FL,Lake,EasternPrevailing
2289,FL,Lee,EasternPrevailing
3062,FL,Leon,EasternPrevailing
187,FL,Levy,EasternPrevailing
997,FL,Liberty,EasternPrevailing
1397,FL,Madison,EasternPrevailing
1323,FL,Manatee,EasternPrevailing
710,FL,Marion,EasternPrevailing
582,FL,Martin,EasternPrevailing
1148,FL,Miami-Dade,EasternPrevailing
508,FL,Monroe,EasternPrevailing
1623,FL,Nassau,EasternPrevailing
565,FL,Okaloosa,CentralPrevailing
1940,FL,Okeechobee,EasternPrevailing
2183,FL,Orange,EasternPrevailing
1370,FL,Osceola,EasternPrevailing
2895,FL,Palm Beach,EasternPrevailing
533,FL,Pasco,EasternPrevailing
2396,FL,Pinellas,EasternPrevailing
1883,FL,Polk,EasternPrevailing
1392,FL,Putnam,EasternPrevailing
2591,FL,St. Johns,EasternPrevailing
874,FL,St. Lucie,EasternPrevailing
516,FL,Santa Rosa,CentralPrevailing
1493,FL,Sarasota,EasternPrevailing
1783,FL,Seminole,EasternPrevailing
2370,FL,Sumter,EasternPrevailing
2270,FL,Suwannee,EasternPrevailing
607,FL,Taylor,EasternPrevailing
931,FL,Union,EasternPrevailing
1159,FL,Volusia,EasternPrevailing
1367,FL,Wakulla,EasternPrevailing
2541,FL,Walton,CentralPrevailing
401,FL,Washington,CentralPrevailing
694,GA,Appling,EasternPrevailing
2302,GA,Atkinson,EasternPrevailing
1555,GA,Bacon,EasternPrevailing
1501,GA,Baker,EasternPrevailing
1036,GA,Baldwin,EasternPrevailing
348,GA,Banks,EasternPrevailing
3048,GA,Barrow,EasternPrevailing
1175,GA,Bartow,EasternPrevailing
3081,GA,Ben Hill,EasternPrevailing
708,GA,Berrien,EasternPrevailing
1973,GA,Bibb,EasternPrevailing
1007,GA,Bleckley,EasternPrevailing
1693,GA,Brantley,EasternPrevailing
2769,GA,Brooks,EasternPrevailing
1183,GA,Bryan,EasternPrevailing
2498,GA,Bulloch,EasternPrevailing
1750,GA,Burke,EasternPrevailing
1688,GA,Butts,EasternPrevailing
1176,GA,Calhoun,EasternPrevailing
2123,GA,Camden,EasternPrevailing
299,GA,Candler,EasternPrevailing
465,GA,Carroll,EasternPrevailing
1798,GA,Catoosa,EasternPrevailing
966,GA,Charlton,EasternPrevailing
2149,GA,Chatham,EasternPrevailing
2274,GA,Chattahoochee,EasternPrevailing
2686,GA,Chattooga,EasternPrevailing
297,GA,Cherokee,EasternPrevailing
1841,GA,Clarke,EasternPrevailing
1034,GA,Clay,EasternPrevailing
2132,GA,Clayton,EasternPrevailing
3034,GA,Clinch,EasternPrevailing
2811,GA,Cobb,EasternPrevailing
390,GA,Coffee,EasternPrevailing
1995,GA,Colquitt,EasternPrevailing
2807,GA,Columbia,EasternPrevailing
278,GA,Cook,EasternPrevailing
894,GA,Coweta,EasternPrevailing
1270,GA,Crawford,EasternPrevailing
1462,GA,Crisp,EasternPrevailing
412,GA,Dade,EasternPrevailing
634,GA,Dawson,EasternPrevailing
611,GA,Decatur,EasternPrevailing
1962,GA,DeKalb,EasternPrevailing
648,GA,Dodge,EasternPrevailing
1635,GA,Dooly,EasternPrevailing
2106,GA,Dougherty,EasternPrevailing
1305,GA,Douglas,EasternPrevailing
2957,GA,Early,EasternPrevailing
675,GA,Echols,EasternPrevailing
2688,GA,Effingham,EasternPrevailing
1602,GA,Elbert,EasternPrevailing
1280,GA,Emanuel,EasternPrevailing
2494,GA,Evans,EasternPrevailing
1001,GA,Fannin,EasternPrevailing
603,GA,Fayette,EasternPrevailing
1196,GA,Floyd,EasternPrevailing
1664,GA,Forsyth,EasternPrevailing
2720,GA,Franklin,EasternPrevailing
2006,GA,Fulton,EasternPrevailing
510,GA,Gilmer,EasternPrevailing
1054,GA,Glascock,EasternPrevailing
822,GA,Glynn,EasternPrevailing
1309,GA,Gordon,EasternPrevailing
2647,GA,Grady,EasternPrevailing
717,GA,Greene,EasternPrevailing
274,GA,Gwinnett,EasternPrevailing
2332,GA,Habersham,EasternPrevailing
352,GA,Hall,EasternPrevailing
1056,GA,Hancock,EasternPrevailing
2252,GA,Haralson,EasternPrevailing
1887,GA,Harris,EasternPrevailing
2998,GA,Hart,EasternPrevailing
2603,GA,Heard,EasternPrevailing
986,GA,Henry,EasternPrevailing
2627,GA,Houston,EasternPrevailing
2372,GA,Irwin,EasternPrevailing
2652,GA,Jackson,EasternPrevailing
3117,GA,Jasper,EasternPrevailing
1286,GA,Jeff Davis,EasternPrevailing
2056,GA,Jefferson,EasternPrevailing
2534,GA,Jenkins,EasternPrevailing
2160,GA,Johnson,EasternPrevailing
2752,GA,Jones,EasternPrevailing
2040,GA,Lamar,EasternPrevailing
1404,GA,Lanier,EasternPrevailing
2963,GA,Laurens,EasternPrevailing
684,GA,Lee,EasternPrevailing
1671,GA,Liberty,EasternPrevailing
2841,GA,Lincoln,EasternPrevailing
849,GA,Long,EasternPrevailing
925,GA,Lowndes,EasternPrevailing
2850,GA,Lumpkin,EasternPrevailing
1905,GA,McDuffie,EasternPrevailing
976,GA,McIntosh,EasternPrevailing
1559,GA,Macon,EasternPrevailing
1407,GA,Madison,EasternPrevailing
1840,GA,Marion,EasternPrevailing
303,GA,Meriwether,EasternPrevailing
1884,GA,Miller,EasternPrevailing
1590,GA,Mitchell,EasternPrevailing
1677,GA,Monroe,EasternPrevailing
2764,GA,Montgomery,EasternPrevailing
1759,GA,Morgan,EasternPrevailing
2898,GA,Murray,EasternPrevailing
2551,GA,Muscogee,EasternPrevailing
1993,GA,Newton,EasternPrevailing
1181,GA,Oconee,EasternPrevailing
2532,GA,Oglethorpe,EasternPrevailing
984,GA,Paulding,EasternPrevailing
1697,GA,Peach,EasternPrevailing
1080,GA,Pickens,EasternPrevailing
1532,GA,Pierce,EasternPrevailing
152,GA,Pike,EasternPrevailing
671,GA,Polk,EasternPrevailing
1303,GA,Pulaski,EasternPrevailing
88,GA,Putnam,EasternPrevailing
2395,GA,Quitman,EasternPrevailing
2809,GA,Rabun,EasternPrevailing
1628,GA,Randolph,EasternPrevailing
1749,GA,Richmond,EasternPrevailing
1053,GA,Rockdale,EasternPrevailing
1872,GA,Schley,EasternPrevailing
571,GA,Screven,EasternPrevailing
1738,GA,Seminole,EasternPrevailing
3140,GA,Spalding,EasternPrevailing
1391,GA,Stephens,EasternPrevailing
2193,GA,Stewart,EasternPrevailing
2116,GA,Sumter,EasternPrevailing
1938,GA,Talbot,EasternPrevailing
1101,GA,Taliaferro,EasternPrevailing
335,GA,Tattnall,EasternPrevailing
2867,GA,Taylor,EasternPrevailing
2999,GA,Telfair,EasternPrevailing
170,GA,Terrell,EasternPrevailing
2789,GA,Thomas,EasternPrevailing
3127,GA,Tift,EasternPrevailing
2344,GA,Toombs,EasternPrevailing
3033,GA,Towns,EasternPrevailing
1321,GA,Treutlen,EasternPrevailing
94,GA,Troup,EasternPrevailing
1388,GA,Turner,EasternPrevailing
2088,GA,Twiggs,EasternPrevailing
2566,GA,Union,EasternPrevailing
2777,GA,Upson,EasternPrevailing
1599,GA,Walker,EasternPrevailing
2513,GA,Walton,EasternPrevailing
75,GA,Ware,EasternPrevailing
1158,GA,Warren,EasternPrevailing
2133,GA,Washington,EasternPrevailing
1615,GA,Wayne,EasternPrevailing
2739,GA,Webster,EasternPrevailing
2506,GA,Wheeler,EasternPrevailing
626,GA,White,EasternPrevailing
2831,GA,Whitfield,EasternPrevailing
892,GA,Wilcox,EasternPrevailing
2031,GA,Wilkes,EasternPrevailing
1907,GA,Wilkinson,EasternPrevailing
509,GA,Worth,EasternPrevailing
2079,ID,Ada,MountainPrevailing
530,ID,Adams,MountainPrevailing
2942,ID,Bannock,MountainPrevailing
2893,ID,Bear Lake,MountainPrevailing
2439,ID,Benewah,PacificPrevailing
1696,ID,Bingham,MountainPrevailing
1266,ID,Blaine,MountainPrevailing
2950,ID,Boise,MountainPrevailing
1288,ID,Bonner,PacificPrevailing
2107,ID,Bonneville,MountainPrevailing
208,ID,Boundary,PacificPrevailing
2382,ID,Butte,MountainPrevailing
333,ID,Camas,MountainPrevailing
1371,ID,Canyon,MountainPrevailing
2965,ID,Caribou,MountainPrevailing
1116,ID,Cassia,MountainPrevailing
14,ID,Clark,MountainPrevailing
343,ID,Clearwater,PacificPrevailing
2947,ID,Custer,MountainPrevailing
730,ID,Elmore,MountainPrevailing
2778,ID,Franklin,MountainPrevailing
1644,ID,Fremont,MountainPrevailing
2244,ID,Gem,MountainPrevailing
37,ID,Gooding,MountainPrevailing
2366,ID,Idaho,PacificPrevailing
772,ID,Jefferson,MountainPrevailing
507,ID,Jerome,MountainPrevailing
880,ID,Kootenai,PacificPrevailing
1645,ID,Latah,PacificPrevailing
82,ID,Lemhi,MountainPrevailing
2433,ID,Lewis,PacificPrevailing
745,ID,Lincoln,MountainPrevailing
1244,ID,Madison,MountainPrevailing
1411,ID,Minidoka,MountainPrevailing
1731,ID,Nez Perce,PacificPrevailing
600,ID,Oneida,MountainPrevailing
1394,ID,Owyhee,MountainPrevailing
1633,ID,Payette,MountainPrevailing
2711,ID,Power,MountainPrevailing
3069,ID,Shoshone,PacificPrevailing
2864,ID,Teton,MountainPrevailing
2188,ID,Twin Falls,MountainPrevailing
2026,ID,Valley,MountainPrevailing
2002,ID,Washington,MountainPrevailing
799,IL,Adams,CentralPrevailing
2368,IL,Alexander,CentralPrevailing
57,IL,Bond,CentralPrevailing
19,IL,Boone,CentralPrevailing
568,IL,Brown,CentralPrevailing
1174,IL,Bureau,CentralPrevailing
1608,IL,Calhoun,CentralPrevailing
350,IL,Carroll,CentralPrevailing
1572,IL,Cass,CentralPrevailing
796,IL,Champaign,CentralPrevailing
2832,IL,Christian,CentralPrevailing
501,IL,Clark,CentralPrevailing
2958,IL,Clay,CentralPrevailing
1924,IL,Clinton,CentralPrevailing
340,IL,Coles,CentralPrevailing
2181,IL,Cook,CentralPrevailing
2908,IL,Crawford,CentralPrevailing
2968,IL,Cumberland,CentralPrevailing
344,IL,DeKalb,CentralPrevailing
2667,IL,De Witt,CentralPrevailing
159,IL,Douglas,CentralPrevailing
1319,IL,DuPage,CentralPrevailing
1137,IL,Edgar,CentralPrevailing
2865,IL,Edwards,CentralPrevailing
527,IL,Effingham,CentralPrevailing
2643,IL,Fayette,CentralPrevailing
2390,IL,Ford,CentralPrevailing
2000,IL,Franklin,CentralPrevailing
1317,IL,Fulton,CentralPrevailing
2928,IL,Gallatin,CentralPrevailing
564,IL,Greene,CentralPrevailing
2658,IL,Grundy,CentralPrevailing
1714,IL,Hamilton,CentralPrevailing
1878,IL,Hancock,CentralPrevailing
1224,IL,Hardin,CentralPrevailing
2707,IL,Henderson,CentralPrevailing
1888,IL,Henry,CentralPrevailing
1333,IL,Iroquois,CentralPrevailing
605,IL,Jackson,CentralPrevailing
235,IL,Jasper,CentralPrevailing
173,IL,Jefferson,CentralPrevailing
1090,IL,Jersey,CentralPrevailing
960,IL,Jo Daviess,CentralPrevailing
884,IL,Johnson,CentralPrevailing
2836,IL,Kane,CentralPrevailing
948,IL,Kankakee,CentralPrevailing
3106,IL,Kendall,CentralPrevailing
2596,IL,Knox,CentralPrevailing
216,IL,Lake,CentralPrevailing
1692,IL,LaSalle,CentralPrevailing
914,IL,Lawrence,CentralPrevailing
2003,IL,Lee,CentralPrevailing
3056,IL,Livingston,CentralPrevailing
227,IL,Logan,CentralPrevailing
2173,IL,McDonough,CentralPrevailing
498,IL,McHenry,CentralPrevailing
893,IL,McLean,CentralPrevailing
319,IL,Macon,CentralPrevailing
2976,IL,Macoupin,CentralPrevailing
1986,IL,Madison,CentralPrevailing
2682,IL,Marion,CentralPrevailing
992,IL,Marshall,CentralPrevailing
543,IL,Mason,CentralPrevailing
771,IL,Massac,CentralPrevailing
210,IL,Menard,CentralPrevailing
2136,IL,Mercer,CentralPrevailing
788,IL,Monroe,CentralPrevailing
1339,IL,Montgomery,CentralPrevailing
2432,IL,Morgan,CentralPrevailing
1255,IL,Moultrie,CentralPrevailing
550,IL,Ogle,CentralPrevailing
2508,IL,Peoria,CentralPrevailing
2806,IL,Perry,CentralPrevailing
1740,IL,Piatt,CentralPrevailing
2097,IL,Pike,CentralPrevailing
525,IL,Pope,CentralPrevailing
2071,IL,Pulaski,CentralPrevailing
2305,IL,Putnam,CentralPrevailing
2139,IL,Randolph,CentralPrevailing
1627,IL,Richland,CentralPrevailing
231,IL,Rock Island,CentralPrevailing
2735,IL,St. Clair,CentralPrevailing
2233,IL,Saline,CentralPrevailing
2501,IL,Sangamon,CentralPrevailing
2036,IL,Schuyler,CentralPrevailing
2742,IL,Scott,CentralPrevailing
111,IL,Shelby,CentralPrevailing
1683,IL,Stark,CentralPrevailing
808,IL,Stephenson,CentralPrevailing
2978,IL,Tazewell,CentralPrevailing
1957,IL,Union,CentralPrevailing
743,IL,Vermilion,CentralPrevailing
661,IL,Wabash,CentralPrevailing
1941,IL,Warren,CentralPrevailing
2781,IL,Washington,CentralPrevailing
524,IL,Wayne,CentralPrevailing
53,IL,White,CentralPrevailing
114,IL,Whiteside,CentralPrevailing
2927,IL,Will,CentralPrevailing
1213,IL,Williamson,CentralPrevailing
2801,IL,Winnebago,CentralPrevailing
1456,IL,Woodford,CentralPrevailing
1439,IN,Adams,EasternPrevailing
3004,IN,Allen,EasternPrevailing
591,IN,Bartholomew,EasternPrevailing
644,IN,Benton,EasternPrevailing
341,IN,Blackford,EasternPrevailing
1027,IN,Boone,EasternPrevailing
2251,IN,Brown,EasternPrevailing
580,IN,Carroll,EasternPrevailing
2229,IN,Cass,EasternPrevailing
1437,IN,Clark,EasternPrevailing
2590,IN,Clay,EasternPrevailing
369,IN,Clinton,EasternPrevailing
2430,IN,Crawford,EasternPrevailing
2155,IN,Daviess,EasternPrevailing
569,IN,Dearborn,EasternPrevailing
1618,IN,Decatur,EasternPrevailing
2765,IN,DeKalb,EasternPrevailing
2436,IN,Delaware,EasternPrevailing
572,IN,Dubois,EasternPrevailing
2813,IN,Elkhart,EasternPrevailing
770,IN,Fayette,EasternPrevailing
1074,IN,Floyd,EasternPrevailing
1279,IN,Fountain,EasternPrevailing
2730,IN,Franklin,EasternPrevailing
387,IN,Fulton,EasternPrevailing
2774,IN,Gibson,CentralPrevailing
3035,IN,Grant,EasternPrevailing
1848,IN,Greene,EasternPrevailing
1073,IN,Hamilton,EasternPrevailing
2697,IN,Hancock,EasternPrevailing
334,IN,Harrison,EasternPrevailing
2793,IN,Hendricks,EasternPrevailing
2278,IN,Henry,EasternPrevailing
2125,IN,Howard,EasternPrevailing
970,IN,Huntington,EasternPrevailing
2929,IN,Jackson,EasternPrevailing
2129,IN,Jasper,CentralPrevailing
1087,IN,Jay,EasternPrevailing
67,IN,Jefferson,EasternPrevailing
476,IN,Jennings,EasternPrevailing
689,IN,Johnson,EasternPrevailing
1336,IN,Knox,EasternPrevailing
1514,IN,Kosciusko,EasternPrevailing
1540,IN,LaGrange,EasternPrevailing
2593,IN,Lake,CentralPrevailing
1503,IN,LaPorte,CentralPrevailing
